Movie,Year,Certificate,Genre,Overview,Runtime,Rating,ratings_count
Thalaivaa,2013,U,"Action, Drama, Thriller","A son steps into his father's shoes, has to win a bloody war before he becomes the leader.",179,6.1,7744
Bairavaa,2017,U,"Action, Thriller","Bairavaa, a gallant debt collector, takes on a violent criminal masquerading as a philanthropist in the education field.",169,5.9,7388
Goodachari,2018,UA,"Action, Thriller","A young NSA agent is framed for the murder of his bosses making him realize that now his mission is darker than expected and has some personal scores to settle regarding his father's death, a former NSA agent.",147,7.8,7120
Puli,2015,U,"Action, Adventure, Fantasy",A virtuous soldier tries to save people from an evil queen and a throne-seeking commander.,155,4.4,7058
Pulimurugan,2016,U,Action,"When a small village near a forest is under the threat of man eating tigers and a drug mafia, the villagers seek the help of an unstoppable force, a hunter invincible.",161,6.8,6686
Veeram,2014,U,Action,"Vinayagam, an honest man, uses violence to settle disputes. He decides to mend his ways for his lover's sake. Hell breaks loose when he learns about a gang of rowdies following his lover's family.",161,6.5,6661
Vedam,2010,A,"Action, Drama",A terrorist threat puts five people in jeopardy.,135,8.1,6492
Yevadu,2014,A,"Action, Thriller","A young man receives a life-saving face transplant after he is critically injured and his girlfriend murdered in a vicious attack. Unrecognisable to his enemies, he sets out for revenge.",165,5.6,6373
Aravindha Sametha Veera Raghava,2018,UA,"Action, Drama",A young scion of a powerful family with a long history of violence decides to put an end to the bloodshed which leads him to a path of self discovery.,162,7.7,6371
Billa,2007,UA,"Action, Thriller","A cop chases international gangster Billa and happens to be the only one to see him die. He places Velu, Billa's lookalike, inside the gang to get information. But Velu is framed for killing the cop.",130,7.2,6144
Jersey,2019,U,"Drama, Sport",A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,157,8.6,6039
Sye Raa Narasimha Reddy,2019,UA,"Action, Adventure, Drama","A historical action epic inspired by the life of Uyyalawada Narasimha Reddy, who revolted against the atrocities of East India Company 10 years before the Sepoy Mutiny.",167,7.5,5848
Ala Vaikunthapurramuloo,2020,UA,"Action, Drama",A jealous clerk secretly switches his newborn son with his millionaire friend's temporarily stillborn son.,163,7.2,5732
Janatha Garage,2016,UA,"Action, Drama","An environmental activist comes to Hyderabad to attend a seminar, where an unexpected encounter with a man who runs an organization for the oppressed, changes his purpose in life.",162,7.3,5562
Gabbar Singh,2012,UA,"Action, Comedy","Venkatarathnam Naidu (Pawan Kalyan), son of Suhasini and step son of Nagineedu calls himself as Gabbar Singh after liking the character from Sholay. He turns as a cop and gets posted to his...                See full summary »",153,7.1,5550
Temper,2015,UA,"Action, Drama","Daya, a corrupt police officer, finds his life changing when he takes on a case of gang rape.",147,7.4,5524
Singam 2,2013,U,"Action, Thriller",Tough cop Durai Singam performs an undercover operation and identifies some nefarious activities in the seas around the coastal town.,166,6.3,5378
Dhruva,2016,UA,"Action, Thriller","A committed police officer is on a very dangerous mission to destroy the most corrupt person in the country, Siddharth Abhimanyu.",165,7.9,5346
Jalsa,2008,A,"Action, Comedy",A carefree young man's past compels him to confront a criminal boss to acquire land rights.,161,7.3,5294
Maharshi,2019,UA,"Action, Drama","Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers.",176,7.3,5197
Pelli Choopulu,2016,UA,"Comedy, Drama, Romance","This is an urban rom-com in a modern setting where tradition still has a strong hold. The story starts with the ""pellichoopulu"" or arranged meeting of Prashanth (Vijay Deverakonda) and ...                See full summary »",125,8.2,5167
Arya 2,2009,UA,"Action, Comedy",A psychotic willing to sacrifice anything for friendship transforms himself for the sake of his best friend who's not really fond of him.,155,7.4,5164
Chekka Chivantha Vaanam,2018,UA,"Action, Crime, Drama",A bloody power struggle erupts between three brothers who are vying to take over the family business following the death of their father.,146,7.3,5127
Naa Peru Surya Na Illu India,2018,UA,"Action, Drama","A short tempered soldier aspiring to serve at the borders is tasked with getting clearance signature from his estranged father, a professor, who in turn challenges him to give up anger.",163,6.8,5102
Ki & Ka,2016,UA,"Comedy, Romance","Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.",126,5.8,5083
Seethamma Vakitlo Sirimalle Chettu,2013,U,"Comedy, Drama, Family","An exuberant and evocative family drama, that primarily revolves around the close bond between two brothers with radically different personalities, highlighting the complex process of choosing an ideal life partner for each of them.",159,7.5,5075
Singam 3,2017,U,"Action, Thriller",Uncompromising police chief Durai Singam battles against a criminal operation dealing in deadly toxic waste.,155,6.3,5068
Agent Sai Srinivasa Athreya,2019,UA,"Action, Comedy, Crime",Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,148,8.5,4985
Jai Lava Kusa,2017,UA,"Action, Drama","Sidelined at a very young age due to stammering, the eldest of identical triplets develops hatred for his younger brothers and creates havoc in their lives as they all reunite as adults.",150,7.0,4872
Arya,2004,U,"Action, Drama, Romance","Arya (Allu Arjun) is a happy-go-lucky, college-going youth with an attitude. He falls in love with Geeta (Anuradha Mehta) at first sight. He proposes to her in front of her boyfriend Siva. ...                See full summary »",151,7.8,4818
Maattrraan,2012,U,"Action, Sci-Fi, Thriller","Conjoined twins Vimalan and Akhilan involve themselves in a series of deaths involving their father's company. However, the truths that they initially uncover lead to a bigger conspiracy, one that spans across the globe.",165,5.9,4741
Kochadaiiyaan,2014,U,"Animation, Action",A saga of revenge undertaken by a son for his father's name and his kingdom.,124,6.3,4694
Thaanaa Serndha Koottam,2018,UA,"Action, Comedy, Crime","Angered by the corruption that stopped him from becoming a CBI officer, a young man forms a gang who pose as CBI officers and raids the corrupt.",138,6.8,4658
OK Kanmani,2015,UA,Romance,"Two young lovers are compatible in every way - they even agree that marriage is futile. However, their emotions are not so easily managed, especially when they witness the unconditional love of the older couple with whom they live.",139,7.4,4632
Dear Comrade,2019,UA,"Action, Drama, Romance",A hot-blooded student union leader falls for a state-level cricketer but his anger management issues and violent streak threatens to derail their love story.,169,7.3,4575
Happy Days,2007,U,Drama,"The movie revolves around eight youngsters, who become good friends in their freshman years when they join the college for their Bachelors in Engineering (B.E.). The life of these young ...                See full summary »",153,7.9,4416
Sarileru Neekevvaru,2020,UA,"Action, Comedy, Drama",A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.,169,6.1,4367
Julayi,2012,UA,"Action, Comedy",A happy-go-lucky man with wit and an instinct to kill teams up with a timid cop after being pursued by the criminal whose plans to rob a bank he foiled.,160,7.2,4329
Oopiri,2016,U,"Comedy, Drama","Impressed by his carefree attitude, Vikram, a quadriplegic multi-billionaire, hires a convict out on parole as his caretaker. What follows is a string of life lessons they learn from each other.",158,8.0,3927
Baadshah,2013,UA,"Action, Comedy","Fast-paced and fiery, this action-oriented revenge thriller follows the transformation of a young man, from an IPS aspirant into fearless Baadshah, an avenging angel wreaking vengeance upon the mafia kingpin, Saadu Bhai.",164,6.4,3898
Sarrainodu,2016,UA,"Action, Drama",An intense battle breaks out between an evil son of a politician and an ex army man who can't tolerate injustice.,159,6.4,3876
Kick,2009,UA,"Action, Comedy",An adrenaline junkie's quest for kicks leads him to a life of crime.,155,7.8,3874
Leader,2010,UA,Drama,"A well educated idealist, who is a son of Political leader in power wants to correct the rigged political system of favors and corruption. However, this soon becomes a game of power. How ...                See full summary »",167,8.0,3868
Anjaan,2014,U,"Action, Musical, Thriller","Raju Bhai and Chandru head a thriving gang dismantling everyone coming their way. However when their success reaches the dreaded Imran, their lives take a turn.",166,5.0,3818
Khushi,2001,U,"Drama, Romance","While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.",169,7.9,3783
Maya Bazaar,1957,U,"Comedy, Drama, Family","Balarama promises Subhadra to get his daughter married to her son. But when the Pandavas loses their kingdom to the Kaurava's, Balarama breaks his promise.",192,9.2,3733
Rakhta Charitra,2010,A,"Action, Biography, Crime",A killer bandit decides to become a politician in order to avenge deaths in his family.,125,7.6,3718
Mirchi,2013,A,"Action, Drama","A man returns to his country in order, ostensibly, to reform his girlfriend's violent family, but he seems to have a strange connection and a rather dark past.",155,7.2,3708
Chatrapathi,2005,UA,"Action, Drama",Displaced Sri Lankans in a Vizag port are ruled by a local rowdy. This is the story of Chatrapati Sivaji who overcomes this oppression and how he reunites with his long lost mother and brother.,158,7.6,3700
C/o Kancharapalem,2018,UA,Drama,Four unconventional love stories set in the town and including the people of Kancherapalem.,152,9.0,3699
Sachein,2005,UA,"Comedy, Drama, Romance","A love triangle on a college campus between two young students who try to deny their feelings for each other. The entry of a lecturer who has a soft corner for the boy, changes things around.",145,6.9,3643
Vikramarkudu,2006,A,Action,"Vikram Rathod, a policeman, joins with a small time thief Satthi Babu who looks identical to him to avenge his own destruction.",140,7.7,3571
Kuruthipunal,1995,A,"Action, Drama, Thriller","Suave and scintillating, this fast-paced action thriller follows the adventures and investigations of a group of honest police officers, who go undercover to bring down a terror network.",143,8.5,3513
Brindaavanam,2010,UA,"Action, Comedy, Drama",Krish (NTR) is the son of a billionaire businessman (mukesh Rishi). He has a girl friend Indu (samantha). Her friend Bhoomi (kajal) wants to pursue her higher studies and lands in trouble ...                See full summary »,169,7.1,3511
Panjaa,2011,A,"Action, Thriller",A hitman invites the wrath of his boss after beating the latter's son to death for killing an innocent woman.,156,6.5,3479
Nuvvu Naaku Nachchav,2001,U,"Musical, Comedy, Family","Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him .",184,8.7,3475
Gopala Gopala,2015,U,"Comedy, Drama, Fantasy",An atheist sues god after losing his shop in an earthquake.,153,7.3,3433
Kaappaan,2019,UA,"Action, Thriller","A Special Protection Group officer has to identify the threat to the prime minister, who he is protecting, and also the nation.",166,6.4,3410
Aagadu,2014,UA,"Action, Comedy",An encounter specialist is transferred as CI to a village which is ruled by a local gangster,165,5.4,3410
Masss,2015,U,"Action, Comedy, Horror","After a life-threatening accident, a man finds that he can communicate with the dead, and must decide whether to act on their advice.",151,6.0,3384
Maanagaram,2017,UA,"Action, Thriller",Four youngsters arrive in a big city and their lives become interlinked.,137,8.1,3371
Drushyam,2014,U,"Crime, Drama, Family","Rambabu (Venkatesh Daggubati), a cable operator, tries to protect his family from paying the price for their accidental crime.",150,8.3,3344
Yamadonga,2007,UA,"Action, Comedy, Fantasy","A lovable scoundrel's life is cut short when he angers the god of death; however, he still has a few tricks up his sleeve.",185,7.3,3341
S/O Satyamurthy,2015,UA,"Action, Drama",A rich businessman's son faces multiple challenges after he becomes the sole breadwinner of his family.,162,6.9,3265
Tholi Prema,1998,U,"Drama, Romance","Balu (Pawan Kalyan) falls in love with a girl at first sight but can't find a way to get to know her. He can't believe his luck when she approaches him, because her hobby is collecting the ...                See full summary »",146,8.2,3211
Awe!,2018,UA,Thriller,Unusual(multiple) persons tend to meet at a Restaurant and their life-changing moments take place in order to know about a single person.,150,7.8,3208
Yatra,2018,U,"Biography, Drama, Romance",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.,127,8.2,3193
Fidaa,2017,U,"Drama, Romance","Varun and Bhanu, both from different worlds, face challenges in their relationship.",144,7.5,3154
Oosaravelli,2011,UA,"Action, Thriller","A youngster, who does anything for money, avenges on those who killed the family of Niharika.",145,6.6,3122
Evaru,2019,UA,"Crime, Drama, Thriller",Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case he uncovers some surprising facts.,118,8.2,3115
Odiyan,2018,U,"Action, Drama, Fantasy","The story of the Odiyan clan, one of the most dreaded, shape-shifting black magicians in the world which ruled the darkness of night through during the pre-electrification era in Kerala.",167,5.5,3113
Khaidi No 150,2017,UA,"Action, Drama",A man (Chiranjeevi) on the wrong side of the law is moved by the plight of farmers to do the right thing.,142,6.0,3107
NGK,2019,U,"Action, Drama","An educated do-gooder is forced to enter politics in order to serve the society. But, will the old guard make way and allow him to do that?",148,6.0,3099
Duvvada Jagannadham,2017,UA,"Action, Comedy","Trained by a high profile cop, an encounter specialist masquerading as a Brahmin priest takes on a real estate crime organization after losing his uncle.",152,5.6,3087
Bale Bale Magadivoy,2015,U,"Comedy, Romance",An easily distracted scientist (Nani) goes to great lengths to make sure that his girlfriend (Lavanya Tripati) and her family members don't find out about his mental condition.,137,7.8,3073
Shiva,1989,A,"Action, Crime, Drama","Shiva is disgusted by the corruption in and around his new college, and along with his friends, he decides to take a stand against the status quo.",161,8.1,3072
Manmadhudu,2002,U,"Comedy, Romance",A misogynist is forced by circumstances to work with a woman.,142,8.3,3046
Mr Perfect,2011,U,"Drama, Romance","Vicky (Prabhas), an expert in gaming software, lives in Australia and never compromises in his life, a principle he adheres to since his childhood. He believes that one should be oneself in...                See full summary »",144,7.1,2917
Orange,2010,U,"Comedy, Drama, Romance","A man, who doesn't believe that love can last a lifetime, pursues an exuberant romantic, but their clashing ideologies keep them apart.",162,6.6,2837
Anirudh,2016,U,"Action, Drama, Family","To consolidate his position in the family, a man tries to arrange a marriage for his daughter, but the suitable boy he has in mind is already in love with another.",156,4.3,2785
Kanche,2015,UA,"Action, Drama, History","A rivalry between two men, based on caste and social status, extends from an Indian village to war torn Europe during WW2.",126,7.9,2755
Naayak,2013,A,Action,A young man and his lookalike team up to fight injustice and settle their personal scores with the evildoers.,153,5.5,2749
