Movie,Year,Certificate,Genre,Overview,Runtime,Rating,ratings_count
The House Next Door,2017,A,Horror,"A young married couple begin to encounter several paranormal attacks, when a family moves into a neighbouring house, that is being haunted by a vengeful spirit, which leads them to perform an exorcism in order to help save the neighbours.",137,6.8,1865
Krishna Gaadi Veera Prema Gaadha,2016,UA,"Action, Comedy, Romance","Krishna (Nani) is a coward who is in love with Mahalakshmi (Mehreen Pirzada) and they have kept it a secret. Mahalakshmi is sister of Ramaraju, who in turn is a henchmen of Rajayya. At the ...                See full summary »",148,7.5,1854
Prince,2010,UA,"Action, Sci-Fi, Thriller",A thief is caught in a race against time after he wakes up with no memory and has to find an antique coin which might be the root cause.,138,4.2,1838
Sankarabharanam,1980,U,"Drama, Musical, Romance","The story of a rare and exceptional bond between the master of classical music Sankara Sastry and his admirer Tulasi, a woman from a family of prostitutes.",143,8.7,1829
Thoongaavanam,2015,UA,"Action, Thriller","A cop with a connection to the criminal underworld finds his secret life exposed when he and his partner are caught stealing cocaine from a powerful drug dealer, a move that puts his son's life in jeopardy.",128,7.0,1821
Anand,2004,U,"Comedy, Drama, Musical","A rich guy falls in love with an independent and strong-minded girl, and moves into her simple neighborhood to earn her love.",180,7.8,1814
Dhammu,2012,A,"Action, Drama",An orphan gets adopted by a rich and powerful family looking for a heir. But the family has a dark violent past due to dispute with a rival family. What will he do when the fate of his village depends on him?,155,5.2,1794
Ramayya Vastavayya,2013,A,"Action, Drama",Nandu a happy go lucky boy falls in love with Akarsha (Samantha) only to avenge his fiance's death.,167,5.1,1773
NTR: Kathanayakudu,2019,U,"Biography, Drama","Based on the journey of the legendary Telugu actor, filmmaker and ex-Chief Minister Late Taraka Rama Rao Nandamuri.",169,5.7,1769
Thaandavam,2012,U,"Action, Thriller",A blind man with his 'Echolocation' power takes on a revenge mission.,160,6.1,1691
Athidhi,2007,A,Action,Athidi(Mahesh Babu) is falsely convicted for killing his adopted parents and goes to jail for 13 years and when he comes back he loves Amrita (Amrita Rao) unaware that she is the daughter of his adopted parents.,300,5.5,1691
Kshana Kshanam,1991,U,"Comedy, Crime, Drama",A high-profile bank robbery in the city wreaks havoc in the life of an unsuspecting regular young woman when she's caught in the line of fire between the villains and the police.,158,8.1,1685
Rudra Veena,1988,U,"Drama, Musical",A classical singer believes in changing society through his music and will power.,170,8.5,1670
Annamayya,1997,U,"Biography, History, Musical","A cinematic version of the life of famous Indian saint-poet, Annamayya.",150,8.0,1648
Badrinath,2011,A,Action,A skilled warrior and the protector of Badrinath temple finds his loyalties divided while trying to revive an agnostic's faith in God.,140,4.3,1640
Nenu Local,2017,UA,"Action, Comedy, Romance","A happy-go-lucky man accidentally falls in love with a woman whose father despises him. To further complicate matters, his lover has another suitor, who is deemed more worthy of her.",150,6.4,1626
Oh Baby...,2019,U,"Comedy, Drama, Fantasy","A seventy-year-old woman, Savitri aka 'Baby' gets a second chance to relive her youth when gets transported into the body of a 20-year-old girl and embarks on an exuberant journey of rediscovering herself.",161,7.4,1601
Hello Guru Prema Kosame,2018,U,"Comedy, Romance","After a rocky start, a friendship develops between a happy-go-lucky youth and a girl from the city.",140,7.1,1569
Rabhasa,2014,A,"Action, Comedy","Karthik's mother wants him to marry Indu, the daughter of her brother, Dhananjay. However, when his father goes to Dhananjay's house, he is insulted. Agitated, Karthik decides to seek revenge.",153,4.9,1568
Sainikudu,2006,UA,Action,Siddharth and his friends rescue a village in Warangal from severe floods. Sidhartha is convinced that Govt will give some relief package to the flood effected. Some time later he realizes ...                See full summary »,169,5.1,1568
Arjun,2004,U,Action,A young man risks his life to guarantee his twin sister's happiness and protect her from murderous in-laws.,0,6.5,1562
Badri,2000,U,"Comedy, Drama, Romance","Badri (Pawan Kalyan) is an ad agency director whose parents are settled in the USA. He has a love called Vennela (Renu Desai), who is a close family friend of Badri's family. Their parents want these two to tie the knot.",158,7.1,1556
Krishnarjuna,2008,U,"Comedy, Drama, Romance","An astrologer's advice forces Pedababu to fix his sister's wedding to Arjun, an orphan, so that he can be killed, and she can be married to a rich man. However, Lord Krishna comes to Arjun's rescue.",134,4.9,1553
Nijam,2003,UA,Action,A young man is guided by his mother in a methodical manner to avenge his father against the perpetrators who falsely accused and killed him.,196,6.6,1540
Bruce Lee: The Fighter,2015,UA,"Action, Comedy",A stuntman is mistaken for a police officer by an idealistic woman and begins fighting crime on behalf of the police.,151,5.5,1537
MCA Middle Class Abbayi,2017,UA,"Action, Comedy","A youngster tries to protect his sister-in-law, a transport official, from a dreaded goon who runs an illegal road transport business.",144,5.8,1534
Ee Nagaraniki Emaindi,2018,UA,"Comedy, Drama","The story is based on four childhood friends who go on a trip to Goa. Each have their own dream careers, and collaborate to make a short film.",122,7.9,1523
Nenu Sailaja,2016,UA,"Action, Comedy, Romance","Hari (Ram), a DJ, proposes to many girls but none of them accepts his love. One day he sees a beautiful girl Sailaja (Keerthi Suresh) and she seems to like him too, but fear of rejection keeps him from speaking up.",155,6.9,1520
Gentleman,2016,U,"Mystery, Romance, Thriller","Catherine finds herself in a web of deception and lies when she finds out that the fiance of her friend Aiswarya might not be as ""Gentleman"" as he seem.",144,7.1,1518
Student No. 1,2001,U,"Action, Crime, Drama",Aditya (Jr. NTR) joins a law college in Vizag as a student. The law college is notorious for its unruly students headed by Satya (Rajeev Kanakala). Aditya is shown as a young mysterious man...                See full summary »,130,6.8,1502
Kumari 21F,2015,A,"Drama, Romance",An immature teenager doubts the virginity and loyalty of his overly outgoing girlfriend.,134,7.8,1492
Chitralahari,2019,U,Drama,"Down on luck and depressed by constant failures in personal and professional life, Vijay is desperately in search of that single stroke of fortune that could turn his life around. But what if the power to rewrite his destiny lies within?",131,7.2,1481
Shankar Dada MBBS,2004,U,Comedy,A doctor treats patients with humanity (not with medicines).,174,7.4,1479
Kanthaswamy,2009,UA,Action,"A CBI officer moonlights as a modern day Robin Hood in the guise of the masked Kanthaswamy, as he helps fight corruption and aid impoverished people.",190,5.0,1468
iSmart Shankar,2019,A,"Action, Sci-Fi","iSmart Shankar, starring Ram Pothineni and directed by Puri Jagannadh revolves around a hero who has another man's memory transferred into his head.",140,5.5,1428
Anukokunda Oka Roju,2005,U,"Mystery, Thriller",A woman with amnesia tries to unravel the mystery of the missing day in her life.,145,8.0,1426
Bheeshma,2020,UA,"Action, Comedy, Romance","The film revolves around Bheeshma, a man making his living as a meme creator, who wants to remain single forever. But will he be able to?",150,6.6,1419
Desamuduru,2007,UA,"Action, Drama","After thrashing a goon's son, a crime reporter escapes to Kulu Manali where he falls for a woman who soon gets kidnapped.",148,6.1,1378
Pailwan,2019,UA,"Action, Drama, Sport","Krishna, a fierce wrestler, faces challenges in his personal life as he tries to fulfill the dream of his father, an ex-wrestler.",166,6.4,1364
World Famous Lover,2020,UA,Romance,"An amalgamation of four different love stories: Seenayya and Suvarna, a middle-class couple in a small town; Gautham, a youngster romancing in Paris with Iza, Union Leader Srinu in love with his boss lady, and a first college romance.",154,4.6,1342
Theeya Velai Seiyyanum Kumaru,2013,U,Comedy,"A shy, introvert tries to impress a girl with the help of a love guru.",130,6.1,1322
Raja The Great,2017,UA,"Action, Comedy",Raja who is born blind but has extraordinary senses and is a trained skillful fighter is assigned to rescue a girl.,149,6.5,1321
Kadaram Kondan,2019,UA,"Action, Thriller","Vasu, a young medico, after rescuing one of his patients from a murder attempt finds out that his pregnant wife is abducted, and the kidnappers demand the patient he saved in exchange for her safety.",121,5.7,1311
Sammohanam,2018,U,Romance,"An unexpected encounter leads a cartoonist, who despises film actors, to fall in love with an actress.",137,7.6,1308
Aithe,2003,U,"Action, Adventure, Thriller",Irfan Khan (Pavan Malhotra) is a key mafia affiliate in Mumbai. Khan is on the wanted list of criminals in Hyderabad with a bounty of 50 lakhs. Aiming to migrate to Dubai so that he could ...                See full summary »,140,8.1,1297
Takkari Donga,2002,U,"Action, Adventure, Comedy",Outlaw in the Indian (not Native American) wild west shoots it out with bad guys over a girl and a diamond mine.,165,6.8,1272
Kadhalil Sodhappuvadhu Yeppadi,2012,U,"Comedy, Romance","A boy and girl fall in and out of love, several times over.",125,7.1,1266
Pammal K. Sambandam,2002,U,"Comedy, Musical",A single movie stuntman attempts to save the marriage of his hen-pecked brother.,155,7.1,1266
Kanchana 2,2015,UA,"Comedy, Horror","A couple of revenge seeking ghosts haunts an innocent man, and the people surrounding him, to get justice for their murders.",166,5.5,1263
Saroja,2008,U,"Adventure, Comedy, Crime","Four friends, Jaga, Ganesh, Ajay and Vishwas are motoring to a cricket game. An accident leads them to divert on a side road, where they encounter a criminal gang that has kidnapped a young girl and shot a policeman - in front of them....",156,7.1,1255
Vel,2007,U,"Action, Comedy, Drama","On the search of his missing brother, Vasu finds out that Vel is his twin brother and risks his life to clear his brother's problem given by Sakarapandi an X-MLA .",160,6.0,1246
Gundamma Katha,1962,U,"Comedy, Drama","Gundamma, a rich widow, has one goal - to get her spoilt daughter married to a rich boy. She, however, treats her step daughter like a maid. Gundamma does not care about the step daughter's...                See full summary »",166,8.8,1236
Oohalu Gusagusalade,2014,U,"Comedy, Romance",N. Venkateswara Rao a.k.a. Venky (Naga Shourya) works in UB TV and his aspiration is to become a news reader just like his father N. Bhanu Murthy who discontinued his work as a news reader ...                See full summary »,128,7.7,1234
Devadas,2018,UA,"Action, Comedy, Drama",A staid doctor's monotonous routine is shaken up when a gangster who is on the run decides to hide from the police in his clinic.,159,6.7,1225
Sokkali Mainor,2016,UA,"Comedy, Drama","To keep her late husband's son and his wife from seeking a divorce, a widow enlists the help of her husband's spirit.",145,6.4,1221
Anukshanam,2014,A,"Crime, Thriller","Based on real-life events, this crime thriller traces the terrible trail left by a serial rapist and killer, highlighting the ensuing media coverage, public panic and one police officer's personal crusade to capture the psychopath.",82,6.5,1189
Stalin,2006,UA,"Action, Drama",The story is about how an ex-army officer brings change in society by making people to help each other.,168,5.9,1168
Godavari,2006,U,"Drama, Romance","While on a cruise on the river Godavari, a romance ensues between a heartbroken idealist Ram and an independent woman, Sita",160,7.8,1159
Suryam,2004,U,"Action, Romance",A man sets out to fulfil his mother's last wish after serving his term in a juvenile detention center for a murder he did not commit.,150,5.1,1150
Balu,2005,U,"Action, Crime",Balu is about a youngster who is ready to sacrifice everything he had for the sake of good.,169,6.0,1148
Savyasachi,2018,UA,Action,"A twin brother of the protagonist is absorbed due to Vanishing Twin Syndrome and controls his left hand. When his life is threatened, the twin brother that never existed protects him like a shield.",151,5.4,1144
Nene Raju Nene Mantri,2017,UA,"Action, Thriller",Radha jogendhra journey to the Chief Minister position and what inspired him to go after political power.,153,5.8,1144
Kaashmora,2016,UA,"Action, Comedy, Fantasy",Kaashmora uses black magic to conjure an ancient warlord and his queen. Hilarity and horror ensue.,163,5.5,1131
Run Raja Run,2014,U/A,"Comedy, Drama","A cheated police officer who has been involved in a scam by his co-officer, goes to jail. His son seeks revenge with an extremely thrilling plan along with his friend.",137,7.4,1131
Abhiyum Naanum,2008,U,"Comedy, Drama, Family","The father of a grown daughter meets the father of a toddler at a playground and recounts the story of his own relationship with his daughter through the years, including his difficulties with accepting her marriage.",147,7.6,1126
Asthram,2006,U,"Action, Crime, Thriller","The story of an honest and strict IPS officer who wants to bring all criminals to justice and wishes to purge the country completely of terrorism, since his family was also once a victim of a terrorist attack.",140,5.8,1117
Irandam Ulagam,2013,U,"Action, Fantasy, Romance",Two parallel love stories on two planets.,158,5.7,1103
Aadi,2002,A,"Action, Drama, Romance","Aadi Keshava Reddy, a youngster, returns to his homeland after 14 years to take revenge on Nagi Reddy who killed his family.",157,7.2,1096
Pandurangadu,2008,UA,"Drama, Fantasy",A playboy in the medieval times discovers his divinity towards Lord Krishna.,156,5.2,1086
Shatamanam Bhavati,2017,U,Drama,The anguish that negligent children can cause is depicted here from the parents' perspective.,129,7.0,1077
Mass,2004,UA,"Action, Drama",A man taking revenge on the killers of his loyal friend.,170,6.4,1068
Swamy Ra Ra,2013,UA,Crime,A small time crook faces a big time challenge: he must fight to retrieve a priceless article and win the heart of his love.,120,7.3,1057
Amazon Obhijaan,2017,UA,"Action, Adventure","Shankar, an adventurer, teams up with Anna Florian and her father to travel a thousand miles and fight off every danger to reach the mythical city of El Dorado.",140,4.7,1055
Chi La Sow,2018,U,"Comedy, Romance","While Arjun doesn't want to get married, his parents set up a blind date for him at his place. The story revolves around Arjun, how he falls for the girl he's about to meet, why and how he changed his decision to get married.",135,7.8,1054
Kaathala Kaathala,1998,U,"Comedy, Drama, Romance","Two friends, both with the name of Lingam, create a comedy of errors and consequent chaos with their girlfriends and their families.",142,7.5,1035
Kanchana 3,2019,UA,"Action, Comedy, Horror",A young man who gets easily scared is possessed by a ghost that is seeking revenge.,164,4.2,1034
Rakhi,2006,UA,"Action, Drama","A common man after his sister death, he takes the law into his own hands and starts to kill men who harassing women.",173,6.3,1029
Balupu,2013,UA,"Action, Comedy",Ravi (Ravi Teja) works as a collection agent of ICICI in Bangalore and leads a happy life along with his friends and his father Mohan Rao (Prakash Raj) who wishes to see Ravi married to a ...                See full summary »,145,6.0,1014
Aadavari Matalaku Ardhalu Verule,2007,U,"Comedy, Drama, Romance","Ganesh, an unemployed man, lands up in a company where Keerthi, the girl he loves, works but who is already engaged to someone else. Sudden incidents ruin his life and he again comes across her, but refuses to marry her.",157,7.4,1012
Antariksham 9000 kmph,2018,U,"Adventure, Drama, Sci-Fi","When a satellite stops communicating, the Indian Space Agency need to bring an engineer out of retirement to help them fix the situation.",140,6.0,994
Jamba Lakidi Pamba,1993,A,Comedy,A woman living in Visakhapatnam hates male domination in society and reverses the characteristics of men and women with the help of a magical herb.,131,8.2,988
Kotigobba 2,2016,U,"Action, Drama, Thriller",A real estate agent disguised as burglar swindles from rich and also hoodwinks the police to believe that his identical twin brother is behind the robbery.,162,6.5,987
Current Theega,2014,A,"Action, Comedy, Romance",Current Theega is a Telugu Action Comedy Romance directed by G. Nageswara Reddy. The village headman Sivarama Raju (Jagapathi Babu) has three daughters and the youngest one is Kavitha. Raju...                See full summary »,128,5.6,978
MalliRaava,2017,U,"Drama, Romance","The love story of Karthik and Anjali, whose paths cross at three different phases of their lives.",129,8.0,973
Premam,2016,UA,"Comedy, Drama, Romance",Vikram falls in love with three women at different stages of his life which changes him as a person until he finally meets the love of his life.,157,6.5,964
Johnny,2003,U,"Action, Drama",A martial arts coach struggles to earn money through fights in order to save his wife suffering from blood cancer.,180,5.4,964
Endrendrum Punnagai,2013,UA,"Comedy, Romance","Three best friends, Gautham, Baby and Sri, decide to stay single all their lives. But Baby and Sri get married and Gautham is left alone until Priya comes into his life.",155,6.7,952
NTR Mahanayakudu,2019,U,"Biography, Drama",A follow up to NTR: Kathanayakudu which was based on N.T. Rama Rao's life and acting career. This movie will focus on his political career.,128,5.4,946
PSV Garuda Vega,2017,UA,"Action, Drama","A hacker tries to sell sensitive data related to a scam and an NIA officer accidentally gets involved, saving him from getting killed.",150,7.9,945
Kurukshetra,2019,UA,"History, War","The film is loosely based on the Indian epic Mahabharata and poet Ranna's Gadhayuddha with the story centered upon Duryodhana, a Kaurava king.",185,6.9,939
Mr. Nookayya,2012,A,"Action, Comedy","Nookayya (Manoj Manchu), who calls himself Nokia, is an expert cell phone thief. He has a good heart though and together with his friends Nampally (Paruchuri Venkateswara Rao) and Charger (...                See full summary »",140,6.3,928
Mirapakai,2011,UA,"Action, Comedy, Drama","Rishi sends to Hyderabad and join in a college as a Hindi lecturer as a part of an undercover operation. He fall in love with her student Vinamra. Rishi has to extract information about Kittu from Vaishali, another student.",160,6.3,916
Satya 2,2013,A,"Action, Crime, Drama","To build a strong underworld, a man comes to Mumbai to rectify the errors made by previous mafia leaders.",142,6.0,915
Pooja,2014,UA,"Action, Drama","Vasu, a moneylender, foils a planned attempt to kill a police officer by a gang. This sets the gang's leader, Thaandavam, and his goons against him who find out later that Vasu and his family need to be eradicated on more than one count.",154,5.0,912
Naan Sigappu Manithan,2014,UA,"Action, Drama, Thriller",A narcoleptic becomes a vigilante when tragedy strikes.,149,6.5,909
Sakthi,2011,A,"Action, Fantasy","While on a trip, a guide starts protecting the central minister's daughter from some Egyptians who want her and a holy diamond in their custody.",161,3.5,909
Uyyala Jampala,2013,U,"Drama, Family, Romance","A romantic entertainer between a ""bava"" and a ""maradalu"" set in a contemporary coastal town.",124,7.2,904
Khadgam,2002,UA,"Action, Crime, Drama","Koti, an aspiring actor, rickshaw driver Amjad and Radha Krishna, a cop, have all been affected by terrorism. Circumstances bring them together and they decide to foil the plan of a dreaded terrorist.",142,7.7,901
Bachchan,2013,UA,"Action, Crime, Thriller",A real estate businessman is forced to go on a vengeful crusade after the love of his life is tortured by goons.,145,6.6,898
Hyderabad Blues,1998,A,"Comedy, Drama, Romance","The protagonist of Hyderabad Blues is Varun, played by the director, Nagesh Kukunoor. The movie revolves around his visit home after 12 years in the USA and his resulting culture shock.",85,7.2,891
Bunny,2005,U,"Action, Drama","Prior to his marriage, a young man asks for the property of his fiancee's father, a millionaire, to be written in his name.",139,5.7,890
Ragile Gundelu,1985,Unrated,Drama,"After her boyfriend jilts her, a vengeful woman returns to wreak havoc in his married life.",127,4.4,888
Varudu,2010,UA,"Action, Drama, Thriller",A soon to-be married bride is abducted by a man who is obsessed with her.,150,3.5,877
Rakshasudu,2019,UA,"Action, Crime, Thriller",A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen girls and murders them brutally.,122,8.2,875
Gharshana,2004,A,"Action, Crime, Drama",A vengeful gangster targets and terrorizes an entire police unit and their families.,159,7.3,872
Gaganam,2011,U,"Action, Crime, Thriller",It is up to Ravi (Nagarjuna) who has to rescue a flight from Chennnai to Delhi which is hijacked by Yousuf Khan 's men.,120,7.1,869
Krishnarjuna Yudham,2018,UA,"Action, Comedy",A pair of look-a-likes hatch a plan to win over the women they love.,156,5.6,861
Kuselan,2008,U,"Comedy, Drama, Family",Kuselan revolves around the tale of a beautiful friendship between a popular actor and a poor barber.,165,4.7,849
Malli Malli Idhi Rani Roju,2015,UA,"Musical, Romance",Malli Malli Idi Rani Roju is a feel good love story which stays within your heart.,161,7.5,831
Ayogya,2019,UA,"Action, Drama",A corrupt police officer finds his life changing when he takes on a case of gang rape.,146,6.1,829
Gudumba Shankar,2004,U,"Action, Comedy, Drama","Shankar aka Gudumba Shankar, a petty-thief, falls in love with Gowri. When Shankar learns that Gowri and her family are harassed by powerful goon Kumaraswamy, he sets up a plot to fool kumaraswamy.",176,5.7,829
Potugadu,2013,A,"Comedy, Drama","Govinda Naama Sastry (Manoj Manchu) is a young man who decides to commit suicide. He goes to a lonely spot and decides to have one last drink. At about the same time, Venkata Rathnam (...                See full synopsis »",125,5.7,826
Dubai Seenu,2007,U,"Action, Comedy","Seenu - Ravi Teja, is fondly called as Dubai Seenu. His sole aim in life is to fly to Dubai and earn tonnes of money. In the process, he gets hold of a broker and gets duped by him in Mumbai.",157,6.5,822
Sahasam,2013,UA,"Action, Adventure","Gautham Varma, an A.T.M security guard, goes on a treasure hunt for the diamonds hidden by his grandfather in the Hinglaj temple during the time of the India - Pakistan partition.",150,6.6,817
Alex Pandian,2013,U,Action,"A Chief Minister's daughter is kidnapped for a price. They do not need money , but their demand is worse.",135,2.4,809
Ragada,2010,A,"Action, Comedy",A local village rowdy arrives in the city to earn money by any means and participates in a brawl between two rivals that brings him to their attention.,146,6.1,805
Disco Raja,2020,UA,"Action, Sci-Fi","Attacked and frozen to death, a dead man is revived by a group of doctors with the help of a technology that brings back dead people alive.",141,6.4,792
Praana,2019,UA,"Crime, Drama, Horror",A young woman decides to live a life of solitary in an old mansion away from the city's hustle bustle. Little does she know that the nature surrounding her has other plans for her.,107,8.5,782
Shankardada Zindabad,2007,U,Comedy,Shankar Dada joins Mahatma Gandhi to fight against a property owner and works as a radio jockey to solve problems non-violently.,152,5.2,781
Padi Padi Leche Manasu,2018,U,"Drama, Romance","Set in Kolkata, the romantic drama chronicles the shared destiny of a young couple as they navigate through the highs and lows of a budding relationship.",158,6.4,778
Thamizh Padam,2010,U,Comedy,"A Movie kidding about the usual scenes used in vernacular, mostly Tamil movies.",160,7.3,771
Ek Niranjan,2009,A,Action,"A bounty hunter searches for the family he was separated from as a child, and falls in love with the sister of a gang member.",150,5.2,768
Annavaram,2006,UA,"Action, Drama",This is the story of a brother who wanted to give his sister the best of everything.. a pure sentiment story on family.,175,4.8,768
Jagadeka Veerudu Athiloka Sundari,1990,U,"Action, Comedy, Family",A man finds a ring that gives the bearer great power but the goddess to whom the ring belongs wants it back.,153,8.0,760
Vismayam,2016,U,Drama,The film narrates the life of four persons and their struggle for their survival in differnt situations..,164,7.7,759
Missamma,1955,U,"Comedy, Drama, Family","Two unemployed college graduates from Madras, Rao and Mary act as if they are a married couple to get a job as school teachers in a small village called Appapuram. The story unfolds into an...                See full summary »",181,8.5,754
Gaddalakonda Ganesh,2019,UA,"Action, Thriller","An aspiring filmmaker who wants to direct a realistic story, stumbles upon a menacing villain and to learn the nitty-gritties of the villain's character, he puts his and his friend's life on the line.",130,6.6,752
Oka Laila Kosam,2014,UA,"Comedy, Romance",After his post-graduate studies Karthik takes a holiday in Europe. On his return journey he falls in love at first sight with Nandana.The rest of the movie deals with the extent to which he will go to win her heart.,150,6.1,749
Venky Mama,2019,UA,"Action, Comedy, Drama",A story of nephew and a son which revolves around their emotions and village drama and army based story.,149,5.5,748
Kick 2,2015,UA,"Action, Comedy, Romance","An NRI doctor returns to India to sell his property, but winds up falling in love.",170,5.1,747
Gayatri,2018,UA,"Drama, Family","Sivaji, a stage artist, finds whereabouts of his daughter who disappeared two decades ago and finds out that the kidnapper, Gayatri Patel, is an exact lookalike of him.",125,6.5,746
Shourya,2016,UA,"Romance, Thriller",Shourya and Netra who have eloped to get married get involved in a bigger complication when one of them gets viciously attacked along their way.,124,6.9,733
Ashta Chamma,2008,U,Comedy,Ashtachemma Lavanya (Colors Swati) is a hardcore fan of hero Mahesh Babu. And her ambition is to marry hero Mahesh. But her heart is broken when Mahesh married Namrata Sirodkar. She lowers ...                See full summary »,126,7.3,733
Sigappu Rojakkal,1978,A,"Drama, Thriller","Kamal Haasan, the central character, is a man terribly soured by his unvaryingly devastating encounters with the opposite sex. He develops a pathological hatred for women and uses his charm...                See full summary »",129,7.8,732
LIE,2017,UA,"Action, Thriller","Sathyam is hired by the National Investigation Agency to help catch Padmanabham, the master of disguise, by following a suit which he is assumed to have an obsession with.",145,5.9,730
Dev,2019,U,"Action, Adventure, Romance","Dev, a youngster from a well-to-do family, is an adventure seeker. When his friend playfully tries to set him up with Meghna, a businesswoman who has no time for love, Dev has to embark on an adventure of another kind.",157,4.8,727
Pataas,2015,A,"Action, Comedy",A corrupt cop gets himself transferred to Hyderabad where he has a change of heart while trying to teach his estranged but dutiful father a lesson.,127,6.7,727
Okkadu Migiladu,2017,UA,Action,Based on events during Srilankan civil war and Tamil refugees who were lost in sea without food and water for 10 days on their way to India.,141,7.2,725
Majnu,2016,UA,"Comedy, Drama, Romance",An assistant director juggles relationships with two women while he writes a romantic comedy.,138,6.4,725
Srinivasa Kalyanam,2018,U,"Drama, Family","""Srinivasa Kalyanam"" illustrates the sacred bond with another human through nuptial rituals and the sanctity of the institution of marriage.",140,6.0,724
Jayasurya,2015,U,"Action, Thriller",A cop mistakenly believes that taking out three thugs will end Madurai's crime wave.,135,6.0,713
Bangaram,2006,A,"Action, Drama","In order to join an international news channel, a fired reporter tries to obtain his boss's signature on a character certificate but is forced by circumstances to help the latter's daughter elope from her wedding.",178,4.7,710
Dora,2017,A,"Action, Horror, Thriller",A father and a daughter purchase a used car which is possessed by an unknown dangerous spirit craving for revenge.,139,5.3,704
Vunnadhi Okate Zindagi,2017,U,Drama,It's about friendship between 2 friends and how their life changes when a new girl comes into their life and how their friendship will be impacted upon her arrival.,152,6.4,703
Krishnam Vande Jagadgurum,2012,UA,Action,"In order to fulfill his promise to his grandfather, a man acts in a play in his native village, where he stumbles upon the truth about the death of his parents.",136,6.9,699
Killing Veerappan,2016,UA,"Action, Biography, Crime","A master strategist is appointed following Veerappan's unabashed spate of crimes and murders. The official puts in place Operation Cocoon, which involves setting up a network of spies and informers.",151,7.3,697
Mr. Majnu,2019,UA,Romance,A charming playboy who has never had a serious relationship finds himself in a spot of bother when he finally meets the right girl. Will they end up together? Or will his fear of commitment affect their relationship?,145,6.1,692
Not Today,2013,PG-13,Drama,"While on vacation with friends in Hyderabad, India, Caden Welles - a privileged young man with the world at his disposal - takes an unexpected turn in life after initially refusing to help a starving man and his daughter.",103,5.7,687
Loukyam,2014,UA,"Action, Comedy",Venky tries to right his wrongs by involving his family and also convince the girls side without getting messed up in between.,150,6.4,672
Swathi Muthyam,1986,U,"Drama, Family, Romance","The story is of mentally slow man, whose life is recapped to his grand-daughter. How he meets his wife (who was a widow), earns his living and fights the injustice he and his wife face.",160,8.3,672
Life Is Beautiful,2012,U,"Drama, Romance","It is a coming of age story of six youngsters, set in the beautiful nostalgic world of a working-middle class neighborhood. The film tracks their journey through the different seasons, ...                See full summary »",167,6.4,671
Chal Mohan Ranga,2018,U,Romance,"Mohan Ranga falls in love with Megha Subramanyam, an NRI residing in the United States. Before she can reciprocate his love, circumstances make them fall apart. But destiny has other plans.",148,5.8,667
Endukante... Premanta,2012,U,"Comedy, Fantasy, Romance","Unfortunate lovers of past meet in this life. But the meeting encounters escape from Paris, from terrorists and struggle to bring back the love to life. What ensues is a series of comedy ...                See full summary »",154,6.1,655
Veyyil,2006,UA,Drama,Story of two brothers told from the perspective of older brother who recalls his childhood memories where he runs away from home and returns after 20 years. The rest of the film is all ...                See full summary »,136,7.7,655
Raju Gari Gadhi 2,2017,UA,"Comedy, Horror, Thriller","Rudra, a mentalist and a medium, helps track down a ghost that is haunting a resort.",117,5.3,633
Superstar Kidnap,2015,UA,Thriller,Three youngsters meet accidentally in a drug deal plan to kidnap superstar maheshbabu to come out of their financial and personal crisis.,120,6.8,627
Ninne Pelladatha,1996,UA,"Romance, Comedy, Drama","Raju and Mahalaxmi meet at a marriage ceremony and both are attracted to each other. They soon fall deeply in love with each other, and decide to inform their respective parents of their ...                See full summary »",146,7.6,624
Shailaja Reddy Alludu,2018,UA,"Action, Comedy, Drama",The son of an egoistic businessman falls in love with an egoistic girl and has to convince her egoistic mother in order to marry her.,147,5.1,621
Jaya Janaki Nayaka,2017,UA,"Action, Romance","Gagan and Sweety fall in love but are forced to break up because her father disapproves of him. While defending a family from thugs one day, Gagan unknowingly saves Sweety and vows to protect her.",149,5.1,617
Akkada Ammayi Ikkada Abbayi,1996,U,"Action, Romance","Nazar's daughter Supriya and Saratbabu's son Kalyan study in same college, where they both engage in few fights.Slowly love blossoms under these petty things. But their parents are rivals in the town.",159,5.2,610
Pichhodu,2019,UA,Drama,"A heartfelt story about soulmates. The film revolves around Rishi, who is on the search for true love. Protagonist Rishi lost his mother when he was a kid. She committed suicide due to his ...                See full summary »",0,9.5,605
Okka Kshanam,2017,UA,"Action, Romance, Thriller","Jeeva (Allu Sirish) leads a happy life with his lover turned life partner Surabhi, until he gets to know his neighbor and their life. The couple witnesses bizarre coincidences and ...                See full summary »",150,7.0,603
Achari America Yathra,2018,UA,"Comedy, Family","Achari tricks his Guru into taking a group trip to the US to pursue his dream girl, whom he met in India.",135,5.8,603
Sathyaa,1988,U,"Action, Crime, Drama",Sathya (Kamal Hassan) is a young man who wants to make a difference and ends up becoming a henchman to a political leader who has his own agenda.,147,7.8,601
Bengal Tiger,2015,UA,"Action, Comedy","Akash gets rejected by a girl because he isn't popular. Insulted, Akash starts doing whatever he can to become the talk of the town.",145,5.1,600
Ashok,2006,A,Action,"A quick-tempered auto-mechanic is desperate to reconcile with his pacifist father; but a threat from a blood-thirsty mobster forces him to fight for the sake of his family, friends, and love.",0,5.7,596
